a6dc05d9-cd31-4647-ba23-f8dd45ff0cca,Claudina,Koehler,Manager, Intern
f4b32049-1bc1-49d3-9e53-251dd9933242,Leanna,Malanie,Salesman, FullTime
93570be0-3006-40c5-8561-de8d3922c7c1,Madeleine,Allare,Accountant, FullTime
261f967b-ae5b-400e-bf0b-9a337d71087e,Verla,Standing,Accountant, Intern
c90579ba-b758-479c-9d2f-0915246901e6,Doro,Donoghue,Manager, PartTime
adda75b2-3840-4f41-9387-ddf663f28e69,Ivett,Zola,Manager, Intern
27d003b1-089e-47f7-a96d-8d4bda523b9b,Vita,Laurianne,EssentialEmployee, Intern
d300ad61-5cd6-46e6-9000-8d4f1c478d3e,Anestassia,Sadowski,EssentialEmployee, FullTime
3391c5d5-d9e5-4162-b924-e81f372c75f9,Mahalia,Kelula,Manager, Intern
f5d71732-9ac7-4671-9cf5-ba5c528cb16a,Josephine,Daniele,Accountant, Intern
4f0986d9-2ff2-4837-8dbe-3d1dd5eadd5d,Madelle,Justinn,Salesman, PartTime
3c47d99a-c009-40e7-acc7-8be388b4a38e,Britte,Fosque,Salesman, FullTime
fa660967-3cef-413d-a1cb-c8c092339a19,Chickie,Lamoree,Accountant, FullTime
03414072-d621-4151-9363-2ca3ecf275de,Ashlee,Orelee,EssentialEmployee, PartTime
1854d2b0-def2-488b-a1f9-e2936eaa99fd,Debee,Docilla,EssentialEmployee, FullTime
ca47a0cc-e300-41b8-9d50-1094c79159e4,Mellicent,Diann,EssentialEmployee, PartTime
2266cdc9-2881-487d-a738-b2df9a4d6c07,Nikki,Tillford,Accountant, PartTime
4c102e72-2f31-4a52-b893-0da44f2fbf18,Mary,Dyche,Manager, Intern
71c84221-d9fb-48e4-90ad-9d9d31e1e05a,Lucille,Selway,Salesman, PartTime
4824bc20-fd37-44a0-83b0-d2596b78e1d4,Jaime,Bord,Salesman, Intern
3da353be-6c03-45b4-8d16-6411f3c32a56,Marsiella,Lenny,Manager, Intern
2c54f169-3952-4ff8-8b45-75916aaaec97,Coral,Kesley,Manager, PartTime
00545089-40f7-4d44-b934-42deb5fd6ff7,Kimberley,Capello,Accountant, Intern
c7915c13-cc09-462c-89d4-864a23e00f6d,Amelia,Ehrman,Accountant, FullTime
2cdb54b6-07c5-44ec-b9fc-27a1b5bffec6,Marleah,Remmer,EssentialEmployee, PartTime
02c4bfe2-3b09-40a9-95ee-e2731929febf,Augustine,Morgun,Manager, Intern
ce38db9b-637f-48aa-a6f7-504a3685f8e0,Basia,Selway,Salesman, PartTime
af6543c1-68bb-46ba-8d46-abfb1b93e153,Paule,Gibbeon,EssentialEmployee, FullTime
162f77d0-a59b-48f3-ba77-01add0c263b1,Quintina,Taam,Salesman, FullTime
94af27c2-f6b4-4712-8ae8-a9fe3a9fa1d7,Brena,Montgomery,EssentialEmployee, Intern
9e0c2b84-6ef1-467d-9d78-ac8151b840b1,Dorothy,McNully,EssentialEmployee, PartTime
0179913f-2ef8-43bf-b2c3-2e2ad3d9f38c,Jsandye,Orelee,Accountant, FullTime
e9ebfa20-760c-49e7-9267-1b8eef84d9e9,Kelly,Fiester,Manager, FullTime
05c44809-a011-4a40-a037-3f0cec5b81ed,Jan,Israeli,Manager, PartTime
a9773ece-4fa8-44ba-bcf9-66719b3dc419,Leia,Corilla,Accountant, PartTime
05192b65-1f70-437a-87c8-2f78cea6ff26,Elbertina,Connelly,EssentialEmployee, Intern
018e8d16-5f8e-41a0-b60c-7ce1ec9f081a,Odessa,Rodmann,EssentialEmployee, Intern
314e0d4a-3df1-4878-84fd-02e0ee47ea67,Mureil,Phi,Accountant, Intern
